depth.cm,AgeCal,Pinus,Abies,Cedrus,Juniperus,Picea,Taxus,Betula,Corylus,Alnus,Carpinus,Salix,Ulmus,Populus,Acer,Fraxinus,Fagus,Tilia,Juglans,Castanea,Semideciduous.Quercus,Evergreen.Quercus,Ilex.Aquifolium,Sambucus,Viburnum,Tamarix,Buxus,Oleaceae,Pistacia,Rhamnus,Ephedra,Myrtus,Thymelaea,Myrica,Arbutus.unedo,Ericaceae,Rosaceae,Ribes,Sanguisorba,Genista,Cistaceae,Helianthemum,Lamiaceae,Hedera.helix,Poaceae,Cerealia,Lygeum.spartum,Artemisia,Cichorioideae,Asteroidae,Carduae,Centaurea,Rubiaceae,Chenopodiaceae,Caryophyllaceae,Plantago,Resedaceae,Brassicaceae,Gentiana,Saxifragaceae,Fabaceae,Lotus.t,Trifolium.t,Fumariaceae,Potentilla,Filipendula,Boraginaceae,Linum,Corydalis,Urticaceae,Cannabis.Humulus.t,Mentha.t,Rumex,Plumbaginaceae,Berberidaceae,Euphorbiaceae,Primulaceae,Scrophulariaceae,Papaver,Geraniaceae,Campanulaceae,Dipsacaceae,Malvaceae,Violaceae,Valerianaceae,Convolvulaceae,Polygonaceae,Liliaceae,Asphodelus,Iridaceae,Crocus.t,Colchicum,Crassulaceae,Epilobium,Aristolochia,Orobanche,Onagraceae,Apiaceae,Ranunculaceae,Cyperaceae,Typhaceae,Juncus,Sparganium,Thalictrum,Lythrum,Stratiotes,Utricularia,Ledum.palustre,Ranunculus,Pedicularis,Myriophyllum,Lemna,Nymphaea,Nuphar,Potamogeton,Isoetes,Alisma,Callitriche,Asplenium,Spora.monolete.ornate,Spora.monolete,Spora.trilete.ornate,Spora.trilete,Polypodium,Botrychium,Pteris,Equisetum,Selaginella,Undet,Lycopodium
4192,75018.3,71,4,2,17,0,0,0,0,0,1,0,3,0,0,0,2,0,10,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,2,0,0,48,0,0,102,6,0,0,0,1,6,1,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,13,0,8,0,0,0,0,0,0,14,0,52,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,71
4213,75239.4,18,0,0,3,0,0,1,0,0,3,0,0,0,0,0,2,0,4,0,3,8,0,0,0,2,0,0,0,0,0,0,0,0,0,11,2,0,0,0,0,7,2,0,39,0,0,57,3,2,0,1,2,3,1,3,0,0,0,0,2,0,2,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,7,0,0,0,0,0,0,0,4,0,50,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,8,4
4223,75345.2,45,0,1,10,0,0,0,1,1,0,1,2,0,0,1,2,0,1,0,5,2,0,0,0,2,0,0,0,0,9,0,0,0,0,1,4,0,0,0,0,12,6,0,40,0,0,38,15,1,2,1,3,6,0,2,0,2,2,0,4,0,3,0,0,0,1,0,0,0,0,0,0,0,0,2,0,3,0,1,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,1,0,36,6,9,0,2,0,0,0,0,1,0,10,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,9,1
4246,75588.4,8,0,1,6,0,0,1,0,0,0,0,1,0,0,0,1,0,2,0,1,25,0,0,0,20,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,10,4,0,22,0,0,86,1,0,2,0,3,17,2,4,0,0,0,0,36,1,4,0,0,0,5,0,0,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,10,2,0,0,0,0,0,0,0,0,0,3,0,5,6,0,0,2,0,0,0,0,7,0,20,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,7,5
4267,75805,23,0,0,6,0,0,4,2,0,0,0,0,0,0,0,0,0,11,0,1,11,0,0,0,2,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,3,2,0,35,0,0,123,7,4,5,0,2,16,2,2,0,1,0,0,15,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,4,6,1,0,5,0,0,0,0,2,0,28,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,9,1
4287,76022.3,22,0,0,12,0,0,2,0,0,0,0,1,0,0,2,0,0,2,0,1,13,0,0,0,9,0,3,0,0,5,0,0,0,0,1,2,0,0,0,0,7,3,0,67,0,0,115,6,3,1,0,2,19,7,2,0,0,0,0,7,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,8,0,5,2,4,0,4,0,0,0,0,2,1,10,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2
4321,76388.6,54,0,1,11,0,0,1,0,0,1,0,0,0,0,1,0,0,5,0,1,9,0,0,0,4,0,1,0,0,4,0,0,0,0,0,1,0,0,0,0,0,4,0,29,0,0,72,19,4,1,0,1,10,2,1,0,4,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,44,18,5,0,0,0,0,0,0,1,0,18,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,6,13
4331,76495.4,91,0,0,23,0,0,5,2,0,0,0,2,0,3,0,0,0,2,0,1,1,0,0,0,3,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,26,0,0,32,23,2,0,0,0,15,0,0,0,4,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,10,22,9,0,2,0,0,0,0,1,0,6,0,0,0,12,0,0,0,0,0,2,0,0,0,0,0,0,0,7,60
4424,77497.2,42,0,1,16,0,0,2,1,1,5,0,3,0,0,2,2,0,4,0,10,19,0,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,0,8,0,99,0,0,49,0,0,1,0,3,15,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,5,9,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,27
4444,77713.4,65,0,1,10,0,0,0,0,2,5,0,1,0,0,0,0,0,0,0,3,15,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,2,0,0,30,0,0,25,1,1,1,0,0,125,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,16,8,1,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
