AgeCal (Valero-Garces et al 2019),Composite depth (cm),TC,TS,TIC,TOC
48971.2,2469.28,5.5024,0.050558,4.7345,0.7679
49099.9,2478.92,3.9902,0.25263,3.7243,0.2659
49245.5,2488.55,3.9108,0.74163,3.4808,0.43
49330.3,2495.17,5.1064,0.041268,4.9321,0.1743
49450,2505.52,5.4528,0.035621,5.2385,0.2143
49585.8,2515.86,5.5002,0.043234,5.3528,0.1474
49752.5,2526.21,5.7003,0.043387,5.5131,0.187200000000001
49936,2536.55,5.8229,0.064615,5.6271,0.195799999999999
50257.8,2556.00,5.8972,0.076458,5.5857,0.3115
50439,2566.34,5.6122,0.062645,5.3403,0.2719
50619.1,2576.69,10.516,0.2055,10.219,0.297000000000001
50799.6,2587.03,10.343,0.22385,10.003,0.34
50976.5,2597.38,10.096,0.21499,9.7471,0.3489
51143.9,2607.72,10.291,0.22956,9.9364,0.3546
51284.7,2616.00,10.529,0.2076,10.455,0.074
51457.8,2626.39,10.191,0.23276,10.037,0.154
51640.5,2636.78,9.9063,0.21798,9.6201,0.286199999999999
51807.2,2647.17,7.5742,0.18487,7.1611,0.4131
53054.8,2722.00,4.6313,0.052444,4.0257,0.605600000000001
53220.3,2732.67,4.5864,0.04191,4.0567,0.5297
53388.6,2743.33,4.3832,0.076684,3.8318,0.551400000000001
53541,2754.00,4.3228,0.069528,3.8681,0.4547
53714.5,2764.67,4.2286,0.056405,3.8265,0.4021
53941.6,2775.33,5.1086,0.11969,4.7922,0.3164
54135.8,2786.00,4.6825,0.13749,4.3837,0.2988
54259.1,2792.40,5.0136,0.065875,4.6341,0.3795
54412.2,2798.80,4.9857,0.056374,4.5683,0.4174
55813.9,2868.00,3.8665,0.044205,3.3979,0.4686
56025.2,2878.17,5.454,0.059284,5.0074,0.4466
56234.2,2888.34,4.4811,0.044058,4.1453,0.3358
56444.6,2898.51,6.3101,0.059089,5.9813,0.3288
56649.4,2908.68,9.4477,0.11559,9.1869,0.2608
56862.1,2918.85,8.944,0.13456,8.8093,0.1347
57038.4,2928.00,8.4748,0.089214,8.2978,0.177
57252,2938.25,6.0134,0.036274,5.7993,0.2141
57446.8,2948.50,7.8392,0.109,7.565,0.2742
57631.7,2958.75,4.2061,0.079924,3.7828,0.4233
57819.4,2969.00,5.8349,0.0579,5.6129,0.222
58003.5,2979.25,6.3863,0.0532,6.1729,0.2134
58206.5,2989.50,6.3585,0.041961,6.1056,0.2529
58409.8,2999.78,7.1678,0.050059,6.9798,0.188
58567.2,3010.06,7.8746,0.048276,7.1288,0.7458
59742.2,3074.00,9.0503,0.047996,8.808,0.2423
59940.5,3084.00,6.8773,0.050947,6.623,0.2543
60126.5,3094.00,5.6913,0.033257,5.4382,0.2531
60305.7,3104.00,6.0478,0.047111,5.7448,0.303
61748.6,3180.00,8.6041,0.090206,8.4047,0.199400000000001
61930.9,3190.00,7.7223,0.074943,7.4542,0.2681
62116.7,3200.00,7.8179,0.080879,7.6435,0.174399999999999
62293.4,3210.00,8.3106,0.073515,8.0403,0.270300000000001
63560.9,3286.00,9.7791,0.11123,9.6662,0.1129
63725.9,3296.35,11.416,0.11696,11.54,-0.123999999999999
63872,3306.70,11.446,0.11026,11.452,-0.006
64022.3,3317.05,11.511,0.11823,11.654,-0.143000000000001
64163.1,3327.40,11.335,0.12765,11.201,0.134
64317.1,3337.75,12.022,0.11526,12.032,-0.01
64438.3,3345.00,12.529,0.086445,12.394,0.135
64582.1,3355.00,12.508,0.092761,12.353,0.154999999999999
64736.6,3366.00,11.614,0.10154,11.618,-0.004
64868.5,3375.76,11.896,0.1041,11.574,0.322000000000001
65009.9,3385.51,11.034,0.10749,10.819,0.215
65173.2,3395.27,11.277,0.090463,11.074,0.202999999999999
65333.6,3405.02,11.029,0.11059,10.774,0.255000000000001
65343.6,3406.00,10.42,0.13867,10.217,0.202999999999999
65486.4,3415.84,8.972,0.1468,8.857,0.115
65644.2,3425.67,10.611,0.14398,10.541,0.07
65787.5,3435.51,10.701,0.14347,10.589,0.112
65939.8,3445.34,10.14,0.12302,10.145,-0.004999999999999
66084,3455.18,10.632,0.1254,10.575,0.057
66233.8,3466.00,10.87,0.15294,10.794,0.075999999999999
66408.9,3477.67,10.509,0.14464,10.299,0.210000000000001
66596.1,3489.33,10.052,0.13527,9.9226,0.1294
66772.8,3501.00,10.229,0.14115,10.064,0.164999999999999
66942.1,3512.67,9.6911,0.1353,9.4476,0.243500000000001
67076.8,3524.33,9.5939,0.14081,9.3275,0.266399999999999
67200.6,3536.00,9.8106,0.14644,9.541,0.2696
67331.3,3545.84,10.178,0.16447,10.022,0.156000000000001
67458.6,3555.67,9.8358,0.13862,9.7999,0.035900000000002
67592.7,3565.51,5.9885,0.078925,5.7434,0.2451
67728.3,3575.34,6.6955,0.098898,6.4177,0.2778
67842.6,3585.18,7.1246,0.10757,6.8666,0.258
67963.2,3596.00,6.38,0.074882,5.8577,0.5223
68031,3601.00,5.2735,0.066442,4.8931,0.380400000000001
68983.5,3672.00,4.3079,0.11102,3.9829,0.325
69128.5,3682.00,3.8229,0.041466,3.1272,0.6957
69273.2,3692.00,3.5999,0.13859,-0.0287,3.6286
69403.2,3702.00,5.2441,0.21807,-0.0087977,5.2528977
69551.9,3712.00,4.4191,0.053851,3.8971,0.522
69692.8,3722.00,4.9291,0.11475,4.4179,0.5112
69819.2,3732.00,5.4282,0.065279,4.9714,0.4568
69956.8,3741.52,5.2584,0.092112,4.9615,0.2969
70080.4,3751.05,4.8245,0.47639,4.3571,0.4674
70194.7,3760.57,4.3097,0.81575,3.6909,0.6188
70325.3,3772.00,2.9177,0.59039,2.6439,0.2738
70440.1,3782.00,2.4527,1.1755,2.0494,0.4033
70547.8,3792.00,6.9319,0.35961,6.5661,0.3658
70657.1,3802.00,7.4442,0.32154,7.135,0.309200000000001
70769.1,3812.00,5.9729,0.33513,5.6984,0.2745
70862.7,3822.00,5.7666,0.83979,5.4258,0.340800000000001
70978.9,3832.00,4.6831,0.19116,4.42,0.2631
71084.8,3842.27,2.3324,0.47688,1.7212,0.6112
71201.1,3852.54,5.5089,3.1072,5.0104,0.4985
71321.7,3862.80,1.6246,0.76886,1.5823,0.0423
71617.9,3889.50,3.8775,1.9161,3.6539,0.2236
71733.8,3900.13,11.977,1.2409,11.358,0.619
71856.6,3910.75,11.898,1.4302,11.301,0.597
71957.8,3921.38,10.57,0.4426,9.2955,1.2745
72716.2,4003.31,12.356,4.2126,6.3564,5.9996
72770.3,4008.63,12.618,2.5098,5.0285,7.5895
72820.1,4013.94,14.431,3.4648,5.3656,9.0654
72877.6,3998.00,12.152,2.601,6.7316,5.4204
72882.8,4015.00,11.673,2.1927,4.6805,6.9925
72932.5,4020.48,11.513,1.6467,4.9457,6.5673
72988.4,4025.95,13.561,1.3925,4.3172,9.2438
73036.6,4031.43,20.258,3.4798,3.6157,16.6423
73104.5,4036.90,10.299,1.0504,8.5877,1.7113
73111.3,4038.00,9.6821,1.1834,7.6136,2.0685
73196.4,4045.61,12.947,1.3802,9.2212,3.7258
73272,4053.23,9.4243,0.71706,7.8508,1.5735
73346.1,4060.84,9.319,1.1675,7.6935,1.6255
73422.7,4068.45,8.7993,1.3075,7.225,1.5743
73458.4,4071.50,8.7351,1.393,7.0494,1.6857
73548.7,4079.17,8.0722,1.8973,6.4796,1.5926
73618,4086.83,8.1128,1.6682,5.7531,2.3597
73694.2,4094.50,8.4837,2.3853,4.5999,3.8838
73783.1,4102.17,5.5202,4.7795,0.1697,5.3505
73869.8,4109.83,8.6064,1.5424,6.4482,2.1582
73948.2,4117.50,8.1737,2.5607,5.0112,3.1625
74026.6,4125.17,6.668,2.5223,4.7658,1.9022
74098.5,4132.83,6.0861,1.836,4.4743,1.6118
74182.4,4140.50,6.791,1.5001,4.5261,2.2649
74282.9,4148.17,5.8218,0.95818,4.0847,1.7371
74373.1,4155.83,7.6975,0.59736,6.1969,1.5006
74441.8,4163.50,7.7477,0.48616,6.3296,1.4181
74503.7,4171.13,7.3519,0.47165,5.9807,1.3712
74573,4178.00,10.723,0.17271,9.3229,1.4001
74666.3,4188.30,10.712,0.11106,9.5635,1.1485
74768.5,4198.70,10.642,0.076102,9.8568,0.7852
74873.4,4209.00,10.61,0.45123,9.8041,0.805899999999999
74943.7,4219.40,8.2112,0.82729,5.4293,2.7819
75059.1,4229.70,6.4523,0.54812,5.2962,1.1561
75151.9,4238.00,5.732,0.54518,4.8297,0.9023
75236.5,4248.20,5.7075,2.3619,4.8069,0.9006
75336.3,4258.30,6.4183,0.15493,5.7173,0.701000000000001
75422.8,4268.50,5.4219,0.061031,4.7193,0.7026
75516.3,4278.70,5.5206,0.027037,4.7629,0.7577
75613.4,4288.80,6.086,0.024409,5.2784,0.8076
75717.6,4298.00,6.0002,0.010828,5.2238,0.776400000000001
75823.7,4308.00,5.8649,0.063127,4.9514,0.9135
75917.5,4318.00,9.1494,0.018356,7.9734,1.176
76012,4328.00,9.7249,0.30108,7.7758,1.9491
76798.8,4404.00,13.016,0.0015128,11.264,1.752
76906.3,4414.00,12.746,0.0041531,11.337,1.409
77008.4,4424.00,12.498,0.0063666,11.159,1.339
77108.4,4434.00,13.282,0.01238,11.182,2.1
77219.7,4444.00,10.741,0.60168,9.3495,1.3915
77339.1,4454.00,12.174,0.00031627,10.977,1.197
77438.7,4464.00,12.305,0.0014481,10.709,1.596
77542.8,4474.00,14.594,0.04561,10.133,4.461
77632.1,4484.00,12.383,0.74978,9.3654,3.0176
77724.6,4494.00,9.0181,0.015144,6.5195,2.4986
77826.9,4504.00,20.915,0.60288,5.3674,15.5476
77911.9,4514.00,26.189,1.1275,5.6635,20.5255
78014.1,4524.00,15.992,0.42642,6.236,9.756
78115.9,4534.00,7.7298,0.14163,5.6614,2.0684
78900.6,4610.00,7.4364,0.19679,6.6661,0.7703
79009.5,4620.00,2.8771,0.58886,2.2901,0.587
79124.1,4630.00,0.98134,1.0777,0.51623,0.46511
79232.4,4640.00,5.1624,0.51275,4.4718,0.6906
79351.5,4650.00,3.2613,0.45102,2.8089,0.4524
79454.6,4660.00,2.1498,0.40226,1.965,0.1848
79561.7,4670.00,2.2713,1.1817,2.0919,0.1794
79673.3,4680.30,4.4499,0.017497,4.0959,0.354
79781.3,4690.70,4.6538,0.015673,4.3253,0.3285
79892,4701.00,5.5054,-0.0014741,4.6418,0.8636
79990.6,4711.40,5.3689,0.00047406,4.6187,0.7502
80104.4,4721.70,3.8053,0.18303,3.3607,0.4446
80196.5,4730.00,3.4267,0.089367,3.1314,0.2953
80296.5,4740.00,4.9084,0.011002,4.0457,0.8627
80402.2,4750.00,4.5395,0.038892,3.663,0.8765
80518.3,4760.00,5.5915,0.13432,4.1583,1.4332
80638.6,4770.00,3.0286,0.0089307,1.7365,1.2921
80734.3,4780.00,3.8224,0.013925,2.5577,1.2647
80879.8,4796.00,6.1432,0.011785,4.5786,1.5646
80998,4805.80,6.8111,0.011787,5.1072,1.7039
81131.8,4815.70,5.0518,0.02215,4.7376,0.3142
81226.6,4825.50,5.5832,0.17974,5.3613,0.2219
81320.3,4835.30,4.6225,0.17791,4.2192,0.4033
81445.6,4845.20,4.647,0.10752,4.0892,0.5578
82340.6,4922.00,12.003,0.46863,0.98189,11.02111
82437.4,4930.60,11.622,1.1477,9.7822,1.8398
82551.4,4939.30,13.545,0.030947,11.461,2.084
82571.1,4941.00,13.294,0.015291,12.29,1.004
82663.3,4949.70,9.4771,0.084937,6.252,3.2251
82763.9,4958.30,29.804,5.2844,3.5357,26.2683
82865.5,4967.00,32.984,7.2767,3.285,29.699
82982.4,4975.70,18.324,3.9332,0.66163,17.66237
83072.7,4984.30,5.1532,1.5265,0.18591,4.96729
83181.2,4993.00,9.6949,0.66004,6.9985,2.6964
83295,5001.70,1.3049,4.0252,0.37383,0.93107
83398.9,5010.30,5.1742,2.7186,0.080491,5.093709
83588.5,5019.00,14.989,6.6376,0.21459,14.77441
83781.8,5027.70,12.02,5.7266,0.10946,11.91054
83983.2,5036.30,14.415,0.16738,10.327,4.088
84197,5045.00,17.755,0.81124,4.5692,13.1858
84401,5053.40,14.825,0.1165,9.3138,5.5112
84593.3,5061.80,11.438,0.17373,10.215,1.223
84809.3,5070.20,8.6398,0.083509,7.1625,1.4773
85027.3,5078.60,12.427,0.04855,11.398,1.029
85243.8,5087.00,13.8,0.24436,10.45,3.35
85376.8,5092.00,12.75,0.083298,10.863,1.887
85564.2,5100.50,9.5127,0.12928,7.9135,1.5992
85767.8,5109.00,8.8453,0.51398,7.2811,1.5642
85977.7,5117.50,7.4576,0.58279,7.3986,0.059
86188.3,5126.00,5.5668,0.12839,4.5746,0.9922
86385.6,5134.50,7.4223,0.45088,6.7495,0.6728
86591.2,5143.00,11.083,0.19137,10.444,0.638999999999999
86787.6,5151.00,9.1537,2.0562,7.5817,1.572
86980.9,5159.50,7.2306,0.86351,7.0797,0.1509
87178.5,5168.00,7.7971,0.0059878,7.6318,0.1653
87382.3,5176.50,8.2418,-0.0051551,8.115,0.126799999999999
87580.3,5185.00,8.1,-0.027343,8.1533,-0.0533
87764.4,5193.50,7.214,0.013099,6.6638,0.5502
87981.8,5202.00,7.4941,0.13455,7.2386,0.2555
88171,5210.50,7.3776,0.034273,7.4335,-0.0559
88364.7,5219.10,6.8776,0.009013,6.7894,0.088200000000001
88541.7,5227.60,6.46,0.28067,6.0942,0.3658
88710.6,5236.10,6.9766,0.10938,6.7143,0.262300000000001
88893.8,5244.60,6.4217,0.018395,6.1169,0.3048
88917,5245.50,7.6697,0.045098,7.3977,0.271999999999999
89095.1,5253.90,5.3749,0.38803,4.9379,0.437
89266.9,5262.30,5.5514,4.5225E-05,4.9217,0.6297
89487,5270.80,7.0222,0.025623,6.8921,0.1301
89680.9,5279.20,7.5588,0.33818,7.1778,0.380999999999999
89899.7,5287.60,7.0293,0.00077303,6.8565,0.172800000000001
90094.2,5296.00,8.1961,0.019094,8.1363,0.059799999999999
90304.7,5304.40,7.5464,0.061944,7.4904,0.056
90510.4,5312.80,8.2911,1.8004,8.059,0.232100000000001
90741.1,5321.30,7.1554,2.2538,7.0921,0.0633
90954.8,5329.70,10.698,0.1036,10.749,-0.051
91176.4,5338.10,9.9867,0.16414,9.884,0.1027
91393.2,5346.50,6.738,0.65117,6.7664,-0.0284
91621.3,5354.90,7.3097,0.1272,7.2604,0.049300000000001
91861.4,5363.30,7.2823,0.10676,7.3405,-0.058199999999999
92309.2,5378.50,6.6407,0.33593,6.5557,0.085
92539,5387.00,7.3014,1.4981,7.1917,0.1097
92772.6,5395.40,8.1598,0.07315,8.1987,-0.0389
93011.6,5403.90,7.5651,0.030444,8.0029,-0.4378
93212.7,5411.50,7.6531,0.10658,7.7663,-0.1132
93446.1,5419.90,7.542,0.10061,7.3756,0.166399999999999
93676.1,5428.30,7.5202,0.11443,7.5772,-0.057
93908.3,5436.80,0.52509,0.59108,0.19295,0.33214
94147.5,5445.20,34.52,4.4596,2.6779,31.8421
94354.7,5453.60,5.0172,1.3005,0.27753,4.73967
94583.1,5462.00,16.558,3.629,1.2849,15.2731
94827.2,5471.20,8.8852,2.1613,0.52791,8.35729
95076.4,5480.50,26.488,4.9038,1.4063,25.0817
95294.5,5489.70,26.139,4.7596,1.377,24.762
95466.1,5496.20,14.93,0.7745,8.1969,6.7331
95697.9,5505.40,10.661,1.1928,8.3607,2.3003
95927.8,5514.60,10.261,1.4284,8.523,1.738
96182.3,5523.80,10.446,0.16782,8.6819,1.7641
