AgeCal (Valero-Garces et al 2019),Composite depth (cm),MS
18271.6,437.50,4.71189147
18288.3,438.00,4.11189147
18305.2,438.50,4.0763287
18321.8,439.00,3.75957723
18338.2,439.50,3.68623372
18355,440.00,4.63505537
18371.4,440.50,5.14686498
18387.9,441.00,4.9903862
18404.4,441.50,5.21342169
18421.1,442.00,4.74630385
18437.6,442.50,4.11342169
18454.3,443.00,4.27525216
18471.1,443.50,4.62918458
18487.9,444.00,4.66831069
18504.4,444.50,5.7903862
18521,445.00,5.94030889
18537.5,445.50,6.99619271
18554,446.00,8.3695016
18570.6,446.50,9.8695016
18587.1,447.00,9.81499002
18603.6,447.50,8.91499002
18620.3,448.00,8.58952663
18637,448.50,8.20106232
18653.5,449.00,7.60106232
18670,449.50,8.01261639
18686.6,450.00,6.25320109
18703.3,450.50,5.28816912
18719.8,451.00,5.53505537
18736.6,451.50,5.13505537
18753,452.00,5.24762686
18769.6,452.50,5.8763287
18786,453.00,6.43505537
18802.8,453.50,5.63569581
18819.2,454.00,5.5763287
18835.6,454.50,5.64762686
18852.1,455.00,5.70155628
18868.9,455.50,4.98953795
18885.4,456.00,4.41359413
18902.1,456.50,4.390365
18919.1,457.00,4.28623372
18935.7,457.50,3.95344728
18952.4,458.00,3.98345913
18969.3,458.50,3.94608356
18985.7,459.00,3.87771205
19002.2,459.50,4.53987052
19018.8,460.00,4.40271133
19035.8,460.50,4.63987052
19052.2,461.00,5.37771205
19068.6,461.50,6.1645126
19085.1,462.00,5.92893605
19101.7,462.50,5.19879478
19118.7,463.00,4.45035334
19135.1,463.50,4.72181238
19151.5,464.00,4.46008284
19168.4,464.50,5.43035968
19184.9,465.00,7.61436648
19201.6,465.50,14.8551131
19218.1,466.00,6.79938353
19234.5,466.50,5.86036054
19250.9,467.00,5.66008284
19267.5,467.50,6.47361629
19284.1,468.00,5.89594044
19300.7,468.50,5.71085602
19317.5,469.00,5.74545081
19334.1,469.50,5.79932266
19350.6,470.00,5.98389644
19367.2,470.50,6.01477639
19383.8,471.00,6.54725282
19400.4,471.50,6.01024983
19416.9,472.00,5.67686767
19433.6,472.50,5.15396252
19450,473.00,5.74256027
19466.4,473.50,4.59966855
19483,474.00,1.54150772
19499.7,474.50,3.99457718
19516.2,475.00,1.79561465
19532.7,475.50,1.21161666
19549.2,476.00,1.63374674
19565.7,476.50,2.39286574
19582.2,477.00,3.23691514
19648.5,479.00,3.97376085
19668.5,479.60,4.11047243
19685,480.10,3.73020524
19701.3,480.60,3.02205469
19718,481.10,3.23085896
19734.5,481.60,3.64244798
19751,482.10,3.80200043
19787.7,483.20,3.7962482
19804.4,483.70,3.82772351
19820.8,484.20,3.61126976
19837.2,484.70,4.08614056
19854.1,485.20,3.36851656
19874,485.80,4.04244798
19890.6,486.30,4.35115692
19907,486.80,4.28763198
19923.4,487.30,4.45697108
19940.3,487.80,4.71352434
19957,488.30,3.64921866
19976.8,488.90,3.07616628
19993.2,489.40,2.9962482
20009.7,489.90,2.86851656
20026.2,490.40,2.80200043
20042.6,490.90,2.58614056
20059,491.40,2.43020524
20079.2,492.00,1.27340517
20095.7,492.50,1.98400274
20112.5,493.00,1.59785459
20129.2,493.50,1.68189591
20145.9,494.00,3.03786603
20165.7,494.60,2.78656105
20182.2,495.10,3.59198526
20198.7,495.60,2.6704431
20215.2,496.10,3.43099034
20231.8,496.60,3.76869982
20248.7,497.10,3.82009837
20268.4,497.70,3.7051431
20285.2,498.20,3.37978187
20301.6,498.70,3.22451718
20318.3,499.20,3.04395945
20335,499.70,2.92900574
20351.6,500.20,2.88532241
20371.2,500.80,2.89865602
20387.8,501.30,3.16116394
20404.5,501.80,4.24059415
20421,502.30,6.04614122
20437.6,502.80,7.13197179
20454.3,503.30,5.44070756
20474.3,503.90,2.9072584
20491.1,504.40,2.37914331
20507.6,504.90,1.82241738
20524.4,505.40,2.10021679
20541,505.90,2.24269902
20557.5,506.40,2.26075681
20577.6,507.00,2.49561465
20594.2,507.50,2.26799555
20610.6,508.00,2.80327393
20627.1,508.50,2.78135182
20643.8,509.00,3.43555132
20663.5,509.60,2.88032531
20680.4,510.10,3.15853812
20697,510.60,2.78171689
20712.4,511.10,2.57458431
20723.5,511.60,2.78171689
20734.7,512.10,2.99243219
20748.2,512.70,2.68615925
20759.2,513.20,3.22110305
20770.4,513.70,3.01291479
20781.7,514.20,3.48874053
20793.1,514.70,4.09206306
20804.3,515.20,3.29704024
20817.9,515.80,3.47397234
20829.1,516.30,3.57269523
20840.4,516.80,3.89402757
20851.4,517.30,4.06640679
20862.9,517.80,4.24618682
20874,518.30,3.54618682
20887.6,518.90,2.2696348
20898.9,519.40,2.50194228
20909.9,519.90,3.33191871
20921.2,520.40,3.03191871
20932.4,520.90,2.54283127
20943.7,521.40,2.34557522
20957,522.00,2.48874053
20968.3,522.50,2.75188905
20979.5,523.00,2.23905218
